,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
1313,1392,sutorîto faitâ ii gekijô-ban,11,0,4,9
1314,1393,next gen,11,0,4,9
1315,1394,await further instructions,12,4,8,11
1316,1395,midnight special,1,4,8,168
1317,1396,the last man,0,1,5,27
1318,1397,lockout,0,9,13,40
1319,1398,batman: mask of the phantasm,11,0,4,9
1320,1399,skeleton crew,0,5,8,8
1321,1400,don't let go,1,15,5,19
1322,1401,resident evil 7: biohazard,0,15,5,94
1323,1402,chopping mall,2,15,8,4
1324,1403,the passage,0,5,1,39
1325,1404,escape from pleasure planet,0,2,9,98
1326,1405,biohackers,1,9,13,6
1327,1406,24 hours to live,0,9,13,40
1328,1407,x-men '97,11,0,4,9
1329,1408,room 104,2,1,9,32
1330,1409,fallout: new vegas,0,5,8,8
1331,1410,multiplicity,2,11,8,79
1332,1412,supurigan,11,0,4,9
1333,1413,the last bus,4,2,1,169
1334,1414,robot & frank,2,3,1,71
1335,1416,ngo si seoi,0,5,2,2
1336,1417,totally spies!,11,0,4,9
1337,1418,the zero theorem,2,1,9,32
1338,1419,rocketman,2,10,8,17
1339,1420,captain america,0,5,8,8
1340,1421,muppets from space,4,2,11,45
1341,1422,io,4,1,8,63
1342,1423,kung fury,13,0,2,124
1343,1424,sigeuneol,3,1,9,101
1344,1425,offseason,1,8,14,55
1345,1426,command & conquer: red alert 3,0,9,12,159
1346,1427,batman: hush,11,0,4,9
1347,1428,brian and charles,13,2,8,62
1348,1429,sharknado 2: the second one,0,5,2,2
1349,1430,heavy metal 2000,11,0,4,9
1350,1431,anna,1,4,8,168
1351,1432,puppet master,6,15,8,61
1352,1433,g-force,11,0,4,9
1353,1434,equals,1,11,8,33
1354,1435,freaks of nature,2,15,8,4
1355,1436,sky captain and the world of tomorrow,0,5,5,29
1356,1437,the forgotten,1,4,8,168
1357,1438,victor frankenstein,1,15,8,42
1358,1439,upside down,1,8,10,41
1359,1440,agatha: house of harkness,0,5,2,2
1360,1441,mutant x,0,5,1,39
1361,1442,avanpost,0,9,13,40
1362,1443,the invaders,1,9,13,6
1363,1444,days gone,0,5,14,18
1364,1445,little monsters,2,15,8,4
1365,1446,ben 10: alien swarm,0,5,11,28
1366,1447,superboy,4,8,8,51
1367,1448,the munsters' revenge,2,3,11,102
1368,1449,uglies,0,5,1,39
1369,1450,mass effect,0,5,1,39
1370,1451,frogs,12,4,8,11
1371,1452,the neighbors,2,10,10,130
1372,1453,mystery science theater 3000: the return,2,1,14,89
1373,1454,ghost in the shell sac_2045,11,0,3,64
1374,1456,time lapse,12,9,13,162
1375,1458,gekijôban sword art online progressive hoshi naki yoru no aria,11,0,4,9
1376,1459,thundercats,11,0,4,9
1377,1460,sijipeuseu: the myth,0,1,9,81
1378,1461,the wonderful world of mickey mouse,11,16,4,10
1379,1462,fortnite,0,5,2,2
1380,1463,surface,4,1,5,80
1381,1464,s. darko,1,4,8,168
1382,1465,emergence,1,4,8,168
1383,1466,todd and the book of pure evil,2,15,8,4
1384,1467,the last days of american crime,0,3,1,184
1385,1468,braindead,2,1,14,89
1386,1469,tremors ii: aftershocks,0,2,14,95
1387,1470,planet 51,11,5,2,12
1388,1471,tron 3,0,5,8,8
1389,1472,resident evil: vendetta,11,0,4,9
1390,1473,gekijô-ban poketto monsutâ - myûtsû no gyakushû,11,0,4,9
1391,1474,the ufo incident,10,1,6,83
1392,1475,thunderbirds,0,5,2,2
1393,1476,return of the living dead: part ii,2,15,8,4
1394,1477,sonic prime,11,0,4,9
1395,1478,time trap,0,5,5,29
1396,1479,piranha part two: the spawning,12,9,13,162
1397,1482,star trek continues,0,5,8,8
1398,1483,escape to witch mountain,4,10,9,92
1399,1484,s1m0ne,2,1,8,75
1400,1485,z for zachariah,1,11,8,33
1401,1487,batman: arkham city,0,5,3,56
1402,1488,teenage mutant ninja turtles: the next chapter,11,0,4,9
1403,1489,earth: final conflict,0,1,5,27
1404,1490,dreamscape,0,5,14,18
1405,1491,xxx: state of the union,0,5,3,56
1406,1493,justice league dark,11,0,4,9
1407,1494,alphas,0,1,8,5
1408,1495,furya,0,5,8,8
1409,1496,asteroid,0,2,1,85
1410,1497,dragon ball kai: doragon bôru kai,11,0,4,9
1411,1498,saturn 3,4,15,8,34
1412,1499,batman: the brave and the bold,11,0,4,9
1413,1500,the man from earth: holocene,1,8,8,70
1414,1501,beyond skyline,0,5,8,8
1415,1502,lucky man,0,3,1,184
1416,1503,area 51,12,4,8,11
1417,1505,hell comes to frogtown,0,2,8,43
1418,1506,despicable me: minion mayhem 3d,11,16,4,10
1419,1507,the survivalist,0,9,13,40
1420,1508,kin,0,1,8,5
1421,1509,sharknado 4: the 4th awakens,0,5,2,2
1422,1510,double team,0,2,8,43
1423,1511,megalodon,0,5,14,18
1424,1512,jexi,2,11,8,79
1425,1513,repo men,0,9,13,40
1426,1514,pánico en el transiberiano,4,15,8,34
1427,1516,true love,1,11,8,33
1428,1517,codename: kids next door,11,0,4,9
1429,1518,ergo proxy,11,0,4,9
1430,1519,the last sharknado: it's about time,0,5,2,2
1431,1520,mass effect 2,0,5,1,39
1432,1521,honeymoon,1,8,14,55
1433,1522,highlander ii: the quickening,0,5,9,37
1434,1523,project almanac,1,4,8,168
1435,1524,"honey, we shrunk ourselves!",0,5,2,2
1436,1525,maanaadu,0,5,8,8
1437,1526,cowboy bebop: tengoku no tobira,11,0,3,64
1438,1527,the unhealer,0,15,8,23
1439,1528,banlieue 13,0,3,8,77
1440,1529,transformers prime,11,0,4,9
1441,1530,looker,1,9,13,6
1442,1531,the rage: carrie 2,1,15,8,42
1443,1532,power rangers ninja steel,0,5,1,39
1444,1533,dc super hero girls,11,0,4,9
1445,1534,sonic x,11,0,4,9
1446,1535,den blomstertid nu kommer,0,11,8,155
